id_1,id_2,label
0,2908,1
0,3160,1
0,5146,1
0,7883,1
0,8113,1
0,8437,1
0,10362,1
0,12279,1
1,23,1
1,117,1
1,356,1
1,487,1
1,499,1
1,693,1
1,1364,1
1,2807,1
1,2993,1
1,3148,1
1,3439,1
1,4135,1
1,4638,1
1,6662,1
1,6757,1
1,6969,1
1,7574,1
1,8089,1
1,8161,1
1,8178,1
1,8289,1
1,8383,1
1,8391,1
1,8521,1
1,8550,1
1,8611,1
1,8766,1
1,9043,1
1,9199,1
1,9375,1
1,9562,1
1,10338,1
1,11332,1
1,11874,1
1,13056,1
1,13618,1
1,13833,1
1,13850,1
1,14296,1
2,21,1
2,221,1
2,240,1
2,274,1
2,976,1
2,990,1
2,1039,1
2,1149,1
2,1226,1
2,1382,1
2,1465,1
2,1512,1
2,1744,1
2,1771,1
2,1803,1
2,2068,1
2,2129,1
2,2761,1
2,2955,1
2,2972,1
2,3095,1
2,3191,1
2,4104,1
2,4416,1
2,4484,1
2,4897,1
2,5158,1
2,5186,1
2,5343,1
2,5816,1
2,5870,1
2,6324,1
2,6354,1
2,6733,1
2,6746,1
2,6866,1
2,7209,1
2,7286,1
2,7427,1
2,7663,1
2,7768,1
2,7826,1
2,8006,1
2,8097,1
2,8137,1
2,8255,1
2,8404,1
2,8553,1
2,8575,1
2,9047,1
2,9324,1
2,9567,1
2,9722,1
2,9738,1
2,9784,1
2,9850,1
2,9986,1
2,10201,1
2,10484,1
2,10500,1
2,11196,1
2,11350,1
2,11395,1
2,11449,1
2,11711,1
2,12257,1
2,12338,1
2,13094,1
2,13565,1
2,13704,1
2,13872,1
2,13882,1
2,14042,1
2,14543,1
2,14745,1
3,44,1
3,196,1
3,350,1
3,702,1
3,1306,1
3,2517,1
3,2769,1
3,2940,1
3,3651,1
3,3807,1
3,4300,1
3,4778,1
3,4836,1
3,5252,1
3,6571,1
3,6672,1
3,7056,1
3,7285,1
3,7478,1
3,7676,1
3,8477,1
3,9175,1
3,9642,1
3,9825,1
3,10023,1
3,10265,1
3,10574,1
3,10616,1
3,10626,1
3,11156,1
3,11324,1
3,11728,1
3,12786,1
3,12878,1
3,12967,1
3,13415,1
3,14242,1
3,14263,1
3,14441,1
3,14683,1
3,14855,1
4,2352,1
5,12852,1
6,1674,1
6,6441,1
6,7102,1
6,9260,1
6,9594,1
6,11059,1
6,13268,1
7,9,1
7,66,1
7,131,1
7,149,1
7,169,1
7,185,1
7,210,1
7,221,1
7,234,1
7,329,1
7,374,1
7,426,1
7,885,1
7,960,1
7,964,1
7,1041,1
7,1094,1
7,1233,1
7,1348,1
7,1424,1
7,1440,1
7,1543,1
7,1592,1
7,1744,1
7,1786,1
7,1823,1
7,1984,1
7,2073,1
7,2100,1
7,2150,1
7,2229,1
7,2384,1
7,2391,1
7,2400,1
7,2545,1
7,2623,1
7,2675,1
7,2678,1
7,2786,1
7,2819,1
7,2873,1
7,2992,1
7,3003,1
7,3310,1
7,3583,1
7,3594,1
7,3697,1
7,3736,1
7,4120,1
7,4133,1
7,4140,1
7,4326,1
7,4365,1
7,4499,1
7,4533,1
7,4538,1
7,4612,1
7,4659,1
7,4693,1
7,4770,1
7,4858,1
7,4884,1
7,4910,1
7,4923,1
7,4981,1
7,4983,1
7,4986,1
7,5046,1
7,5130,1
7,5142,1
7,5148,1
7,5156,1
7,5237,1
7,5279,1
7,5321,1
7,5335,1
7,5345,1
7,5619,1
7,5679,1
7,5686,1
7,5763,1
7,5790,1
7,5848,1
7,6010,1
7,6026,1
7,6116,1
7,6171,1
7,6199,1
7,6335,1
7,6373,1
7,6430,1
7,6466,1
7,6494,1
7,6638,1
7,6676,1
7,6746,1
7,6867,1
7,6869,1
7,7221,1
7,7279,1
7,7352,1
7,7515,1
7,7522,1
7,7537,1
7,7818,1
7,7882,1
7,7941,1
7,7944,1
7,8009,1
7,8162,1
7,8192,1
7,8312,1
7,8388,1
7,8537,1
7,8555,1
7,8569,1
7,8658,1
7,8732,1
7,8835,1
7,8872,1
7,8943,1
7,8968,1
7,9047,1
7,9049,1
7,9275,1
7,9327,1
7,9376,1
7,9513,1
7,9535,1
7,9557,1
7,9665,1
7,9703,1
7,9754,1
7,9850,1
7,9869,1
7,9952,1
7,10060,1
7,10121,1
7,10214,1
7,10407,1
7,10494,1
7,10521,1
7,10697,1
7,10726,1
7,10730,1
7,10743,1
7,10786,1
7,10892,1
7,10916,1
7,10972,1
7,11002,1
7,11036,1
7,11053,1
7,11127,1
7,11192,1
7,11263,1
7,11303,1
7,11334,1
7,11402,1
7,11480,1
7,11542,1
7,11723,1
7,11745,1
7,11968,1
7,12026,1
7,12098,1
7,12105,1
7,12108,1
7,12165,1
7,12338,1
7,12368,1
7,12402,1
7,12417,1
7,12450,1
7,12610,1
7,12777,1
7,12845,1
7,12943,1
7,13099,1
7,13133,1
7,13203,1
7,13279,1
7,13284,1
7,13296,1
7,13444,1
7,13530,1
7,13536,1
7,13569,1
7,13607,1
7,13733,1
7,13767,1
7,13930,1
7,13979,1
7,14223,1
7,14225,1
7,14359,1
7,14387,1
7,14470,1
7,14651,1
7,14691,1
7,14731,1
7,14815,1
7,14868,1
7,15056,1
7,15065,1
8,164,1
8,434,1
8,443,1
8,535,1
8,564,1
8,593,1
8,629,1
8,700,1
8,768,1
8,781,1
8,782,1
8,814,1
8,1258,1
8,1304,1
8,1606,1
8,1734,1
8,1911,1
8,2139,1
8,2259,1
8,2264,1
8,2469,1
8,2507,1
8,2589,1
8,2739,1
8,2753,1
8,2878,1
8,3000,1
8,3134,1
8,3171,1
8,3290,1
8,3463,1
8,3484,1
8,3596,1
8,3597,1
8,3623,1
8,3656,1
8,3750,1
8,3830,1
8,3882,1
8,3985,1
8,4060,1
8,4213,1
8,4253,1
8,4308,1
8,4577,1
8,4654,1
8,4803,1
8,4808,1
8,4975,1
8,5094,1
8,5290,1
8,5501,1
8,5506,1
8,5731,1
8,5749,1
8,5848,1
8,6049,1
8,6260,1
8,6278,1
8,6349,1
8,6462,1
8,6749,1
8,6844,1
8,6949,1
8,7062,1
8,7210,1
8,7798,1
8,7978,1
8,8011,1
8,8106,1
8,8155,1
8,8486,1
8,8504,1
8,8794,1
8,8844,1
8,8923,1
8,8956,1
8,8991,1
8,9021,1
8,9208,1
8,9335,1
8,9410,1
8,9658,1
8,9971,1
8,10012,1
8,10027,1
8,10668,1
8,10768,1
8,10843,1
8,10866,1
8,10948,1
8,11076,1
8,11112,1
8,11142,1
8,11272,1
8,11407,1
8,11415,1
8,11730,1
8,11918,1
8,12136,1
8,12177,1
8,12199,1
8,12303,1
8,12486,1
8,12818,1
8,12888,1
8,12963,1
8,13060,1
8,13068,1
8,13076,1
8,13216,1
8,13726,1
8,13751,1
8,13907,1
8,13953,1
8,13974,1
8,14036,1
8,14167,1
8,14650,1
8,14694,1
8,14756,1
8,15100,1
9,7,1
9,69,1
9,103,1
9,164,1
9,185,1
9,201,1
9,329,1
9,368,1
9,463,1
9,492,1
9,512,1
9,657,1
9,789,1
9,851,1
9,874,1
9,906,1
9,1010,1
9,1092,1
9,1107,1
9,1502,1
9,1527,1
9,1543,1
9,1550,1
9,1786,1
9,1970,1
9,1984,1
9,2197,1
9,2264,1
9,2278,1
9,2400,1
9,2493,1
9,2573,1
9,2786,1
9,2811,1
9,2819,1
9,2858,1
9,2873,1
9,3292,1
9,3344,1
9,3671,1
9,3720,1
9,3854,1
9,3954,1
9,4209,1
9,4279,1
9,4326,1
9,4401,1
9,4612,1
9,4653,1
9,4795,1
9,4876,1
9,4884,1
9,4941,1
9,4981,1
9,5005,1
9,5037,1
9,5068,1
9,5077,1
9,5095,1
9,5321,1
9,5335,1
9,5493,1
9,5699,1
9,5782,1
9,5893,1
9,5929,1
9,6091,1
9,6261,1
9,6432,1
9,6495,1
9,6528,1
9,6583,1
9,6622,1
9,6689,1
9,6896,1
9,7155,1
9,7233,1
9,7372,1
9,7487,1
9,7669,1
9,7936,1
9,8135,1
9,8329,1
9,8696,1
9,8761,1
9,8816,1
9,9209,1
9,9327,1
9,9342,1
9,9421,1
9,9513,1
9,9515,1
9,9698,1
9,9754,1
9,9822,1
9,9952,1
9,10188,1
9,10231,1
9,10257,1
9,10397,1
9,10403,1
9,10463,1
9,10518,1
9,10572,1
9,10631,1
9,10668,1
9,10801,1
9,11093,1
9,11179,1
9,11188,1
9,11263,1
9,11290,1
9,11779,1
9,11921,1
9,12008,1
9,12047,1
9,12151,1
9,12265,1
9,12368,1
9,12398,1
9,12566,1
9,12691,1
9,12863,1
9,13002,1
9,13088,1
9,13377,1
9,13435,1
9,13525,1
9,13535,1
9,13607,1
9,13636,1
9,13678,1
9,13715,1
9,13858,1
9,13979,1
9,13987,1
9,14045,1
9,14359,1
9,14399,1
9,14418,1
9,14604,1
9,14728,1
9,14731,1
9,14942,1
9,15065,1
10,466,1
10,9076,1
11,373,1
11,629,1
11,953,1
11,1005,1
11,1159,1
11,1931,1
11,2125,1
11,2180,1
11,2287,1
11,2828,1
11,2858,1
11,3570,1
11,5651,1
11,5939,1
11,6759,1
11,7120,1
11,7159,1
11,8862,1
11,9011,1
11,9495,1
11,9624,1
11,10186,1
11,11006,1
11,13117,1
11,13301,1
11,13313,1
